t (Gyr) =   0.0005
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.060  1379.   -4.59  5.32  0.089    0.000  28.835  28.835  27.111  25.404  24.601  25.861  22.217  26.166  22.535  21.585  21.053  20.463  18.571  18.288  16.684  17.367  19.712  24.976  17.979  
 0.070  1720.   -4.19  5.37  0.091    0.000  27.389  27.389  25.623  23.651  23.279  22.875  19.210  22.658  19.762  18.859  18.255  18.080  16.739  16.905  15.776  16.146  18.457  22.150  16.870  
 0.072  1811.   -4.09  5.38  0.091    0.000  27.124  27.124  25.399  23.347  22.978  22.551  18.968  22.358  19.543  18.643  17.982  17.805  16.418  16.579  15.397  15.871  18.114  21.851  16.507  
 0.075  2083.   -3.84  5.38  0.093    0.000  26.697  26.697  25.050  22.896  22.556  22.039  18.469  21.680  19.080  18.185  17.303  17.103  15.567  15.734  14.432  15.180  17.246  21.243  15.595  
 0.080  2348.   -3.57  5.35  0.099    0.000  24.686  24.686  23.930  21.767  21.440  20.894  17.528  20.015  18.067  17.205  15.755  15.692  14.268  14.493  13.301  14.051  16.095  20.015  14.468  
 0.090  2643.   -3.25  5.29  0.113    0.000  21.751  21.751  21.076  19.276  18.946  18.464  16.147  17.818  16.549  15.764  13.792  13.926  12.878  13.119  12.240  12.764  14.820  18.151  13.278  
 0.100  2810.   -3.06  5.25  0.124    0.000  19.746  19.746  19.062  17.621  17.322  16.847  14.983  16.353  15.390  14.694  12.828  12.915  12.117  12.330  11.631  11.985  14.027  16.719  12.557  
 0.110  2915.   -2.92  5.22  0.135    0.000  18.829  18.829  18.160  16.931  16.612  16.263  14.319  15.629  14.736  14.069  12.310  12.362  11.662  11.859  11.226  11.520  13.542  16.021  12.105  
 0.130  3045.   -2.73  5.17  0.156    0.000  17.513  17.513  16.667  15.665  15.395  15.024  13.368  14.486  13.766  13.177  11.609  11.619  11.052  11.221  10.676  10.895  12.842  14.879  11.478  
 0.150  3130.   -2.58  5.13  0.174    0.000  16.648  16.648  15.606  14.755  14.539  14.105  12.678  13.643  13.054  12.530  11.130  11.108  10.631  10.780  10.294  10.464  12.336  14.044  11.037  
 0.170  3191.   -2.46  5.10  0.192    0.000  16.111  16.111  15.111  14.283  14.068  13.640  12.221  13.148  12.594  12.092  10.781  10.741  10.307  10.446   9.989  10.138  11.968  13.561  10.701  
 0.200  3261.   -2.32  5.07  0.217    0.000  15.516  15.516  14.552  13.741  13.525  13.107  11.705  12.593  12.072  11.591  10.365  10.310   9.915  10.046   9.616   9.748  11.531  13.016  10.297  
 0.300  3415.   -1.98  4.98  0.293    0.000  14.245  14.245  13.345  12.559  12.340  11.940  10.567  11.380  10.919  10.477   9.425   9.345   9.021   9.135   8.758   8.858  10.536  11.823   9.373  
 0.400  3519.   -1.71  4.89  0.374    0.000  13.364  13.364  12.483  11.702  11.476  11.093   9.747  10.513  10.084   9.665   8.710   8.621   8.333   8.439   8.091   8.176   9.784  10.964   8.667  
 0.500  3679.   -1.45  4.81  0.462    0.000  12.443  12.443  11.577  10.775  10.529  10.174   8.858   9.553   9.172   8.787   7.986   7.882   7.648   7.739   7.435   7.500   8.991  10.023   7.948  
 0.600  3969.   -1.16  4.72  0.557    0.000  11.347  11.347  10.511   9.671   9.395   9.087   7.825   8.423   8.101   7.762   7.193   7.077   6.912   6.984   6.738   6.782   8.074   8.911   7.151  
 0.700  4396.   -0.86  4.67  0.640    0.000   9.858   9.858   9.215   8.494   8.197   8.027   6.733   7.297   7.003   6.693   6.379   6.268   6.159   6.213   6.027   6.055   7.106   7.761   6.320  
 0.800  4842.   -0.59  4.62  0.725    0.001   8.253   8.253   7.906   7.342   7.105   6.909   5.887   6.354   6.120   5.862   5.632   5.542   5.458   5.501   5.358   5.371   6.250   6.758   5.584  
 0.900  5244.   -0.33  4.56  0.827    0.073   6.998   6.998   6.875   6.430   6.249   6.022   5.203   5.600   5.406   5.184   4.989   4.912   4.840   4.880   4.767   4.769   5.535   5.954   4.953  
 1.000  5627.   -0.10  4.49  0.944    0.306   5.954   5.954   5.997   5.646   5.508   5.285   4.596   4.942   4.775   4.581   4.411   4.345   4.279   4.318   4.230   4.224   4.898   5.251   4.383  
 1.100  5945.    0.13  4.40  1.093    0.574   5.122   5.122   5.249   4.965   4.853   4.649   4.043   4.351   4.205   4.030   3.879   3.820   3.760   3.797   3.729   3.715   4.321   4.627   3.857  
 1.200  6202.    0.33  4.31  1.274    0.770   4.442   4.442   4.599   4.362   4.269   4.084   3.541   3.819   3.688   3.528   3.391   3.339   3.284   3.319   3.264   3.245   3.796   4.067   3.374  
 1.300  6403.    0.52  4.21  1.481    0.880   3.890   3.890   4.042   3.837   3.756   3.587   3.090   3.345   3.225   3.078   2.952   2.904   2.854   2.888   2.842   2.819   3.328   3.573   2.938  
 1.400  6464.    0.68  4.10  1.751    0.938   3.474   3.474   3.607   3.411   3.334   3.171   2.689   2.937   2.821   2.678   2.556   2.510   2.461   2.494   2.451   2.428   2.922   3.158   2.543  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   3.0000
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.060  1313.   -4.70  5.34  0.086    0.000  29.266  29.266  27.579  25.859  24.979  26.635  23.205  27.113  23.465  22.504  21.826  21.119  19.220  18.746  17.011  17.878  20.066  25.573  18.295  
 0.070  1650.   -4.27  5.38  0.090    0.000  27.765  27.765  25.971  24.063  23.688  23.303  19.550  23.064  20.082  19.174  18.592  18.406  17.079  17.244  16.132  16.451  18.805  22.550  17.222  
 0.072  1793.   -4.11  5.38  0.091    0.000  27.164  27.164  25.432  23.393  23.022  22.603  19.006  22.407  19.577  18.677  18.026  17.849  16.468  16.630  15.457  15.912  18.169  21.899  16.565  
 0.075  2052.   -3.87  5.39  0.092    0.000  26.829  26.829  25.154  23.066  22.720  22.231  18.534  21.759  19.144  18.249  17.394  17.197  15.703  15.869  14.588  15.299  17.385  21.331  15.741  
 0.080  2343.   -3.58  5.35  0.099    0.000  24.690  24.690  23.962  21.803  21.477  20.931  17.546  20.052  18.083  17.221  15.788  15.722  14.293  14.513  13.313  14.068  16.112  20.042  14.483  
 0.090  2644.   -3.25  5.29  0.113    0.000  21.748  21.748  21.073  19.273  18.943  18.461  16.145  17.816  16.547  15.762  13.790  13.925  12.877  13.118  12.239  12.763  14.818  18.149  13.276  
 0.100  2810.   -3.06  5.25  0.124    0.000  19.744  19.744  19.060  17.620  17.321  16.846  14.982  16.351  15.388  14.692  12.827  12.914  12.116  12.329  11.630  11.984  14.026  16.718  12.556  
 0.110  2915.   -2.92  5.22  0.135    0.000  18.827  18.827  18.158  16.930  16.610  16.261  14.317  15.627  14.734  14.068  12.309  12.361  11.661  11.859  11.225  11.519  13.541  16.019  12.104  
 0.130  3046.   -2.73  5.17  0.156    0.000  17.510  17.510  16.664  15.662  15.392  15.021  13.366  14.483  13.764  13.176  11.608  11.618  11.051  11.220  10.676  10.894  12.841  14.877  11.477  
 0.150  3131.   -2.58  5.13  0.174    0.000  16.646  16.646  15.605  14.754  14.537  14.104  12.677  13.641  13.052  12.529  11.129  11.107  10.630  10.779  10.293  10.463  12.335  14.042  11.036  
 0.170  3191.   -2.46  5.10  0.192    0.000  16.109  16.109  15.109  14.281  14.066  13.638  12.219  13.146  12.592  12.090  10.779  10.739  10.305  10.445   9.988  10.137  11.967  13.559  10.700  
 0.200  3261.   -2.32  5.07  0.217    0.000  15.512  15.512  14.548  13.737  13.521  13.104  11.701  12.590  12.069  11.588  10.362  10.308   9.913  10.043   9.614   9.745  11.528  13.013  10.295  
 0.300  3416.   -1.97  4.97  0.295    0.000  14.227  14.227  13.326  12.542  12.323  11.923  10.551  11.364  10.903  10.461   9.408   9.328   9.004   9.118   8.741   8.841  10.519  11.806   9.356  
 0.400  3520.   -1.71  4.89  0.375    0.000  13.356  13.356  12.475  11.694  11.468  11.085   9.739  10.505  10.076   9.657   8.703   8.613   8.326   8.431   8.084   8.169   9.776  10.956   8.659  
 0.500  3679.   -1.45  4.80  0.464    0.000  12.435  12.435  11.568  10.766  10.521  10.166   8.850   9.545   9.164   8.778   7.978   7.874   7.640   7.731   7.427   7.492   8.983  10.015   7.940  
 0.600  3974.   -1.15  4.72  0.559    0.000  11.329  11.329  10.493   9.653   9.376   9.070   7.808   8.405   8.083   7.745   7.179   7.064   6.899   6.971   6.726   6.770   8.059   8.892   7.137  
 0.700  4407.   -0.85  4.67  0.643    0.000   9.813   9.813   9.178   8.460   8.164   7.994   6.707   7.268   6.976   6.667   6.356   6.246   6.138   6.192   6.007   6.035   7.080   7.731   6.298  
 0.800  4859.   -0.57  4.61  0.731    0.001   8.191   8.191   7.854   7.296   7.062   6.863   5.853   6.316   6.084   5.828   5.600   5.510   5.426   5.470   5.327   5.340   6.214   6.718   5.552  
 0.900  5270.   -0.31  4.55  0.838    0.070   6.910   6.910   6.801   6.363   6.186   5.957   5.149   5.543   5.351   5.131   4.938   4.861   4.790   4.830   4.719   4.720   5.479   5.893   4.902  
 1.000  5661.   -0.06  4.47  0.966    0.306   5.843   5.843   5.896   5.553   5.418   5.196   4.518   4.860   4.695   4.503   4.336   4.270   4.205   4.244   4.158   4.151   4.818   5.165   4.308  
 1.100  5974.    0.17  4.36  1.143    0.574   4.984   4.984   5.115   4.836   4.727   4.525   3.927   4.232   4.087   3.914   3.764   3.707   3.647   3.684   3.617   3.602   4.202   4.504   3.743  
 1.200  6191.    0.39  4.25  1.366    0.770   4.310   4.310   4.458   4.221   4.127   3.942   3.397   3.676   3.544   3.384   3.247   3.195   3.139   3.175   3.119   3.100   3.653   3.925   3.229  
 1.300  6177.    0.56  4.11  1.671    0.880   3.901   3.901   4.029   3.792   3.700   3.514   2.968   3.248   3.116   2.956   2.818   2.766   2.710   2.745   2.689   2.670   3.225   3.497   2.800  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   4.0000
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.070  1631.   -4.29  5.38  0.090    0.000  27.883  27.883  26.082  24.190  23.815  23.433  19.654  23.184  20.179  19.270  18.690  18.501  17.176  17.341  16.231  16.541  18.903  22.670  17.321  
 0.072  1790.   -4.12  5.38  0.091    0.000  27.173  27.173  25.440  23.404  23.032  22.615  19.015  22.419  19.585  18.685  18.037  17.860  16.479  16.641  15.470  15.922  18.181  21.910  16.578  
 0.075  2041.   -3.88  5.39  0.092    0.000  26.872  26.872  25.188  23.122  22.774  22.295  18.555  21.783  19.164  18.269  17.423  17.227  15.746  15.913  14.638  15.336  17.429  21.359  15.787  
 0.080  2343.   -3.58  5.35  0.099    0.000  24.691  24.691  23.964  21.805  21.479  20.933  17.547  20.054  18.084  17.222  15.789  15.724  14.295  14.515  13.314  14.069  16.113  20.043  14.484  
 0.090  2644.   -3.25  5.29  0.113    0.000  21.744  21.744  21.069  19.270  18.940  18.458  16.143  17.814  16.544  15.759  13.788  13.923  12.876  13.116  12.238  12.762  14.817  18.146  13.275  
 0.100  2811.   -3.06  5.25  0.124    0.000  19.742  19.742  19.058  17.618  17.319  16.844  14.980  16.349  15.386  14.691  12.826  12.913  12.115  12.328  11.629  11.983  14.025  16.716  12.555  
 0.110  2916.   -2.92  5.22  0.135    0.000  18.825  18.825  18.156  16.928  16.608  16.259  14.316  15.625  14.733  14.067  12.308  12.360  11.660  11.858  11.224  11.518  13.540  16.018  12.103  
 0.130  3046.   -2.73  5.17  0.156    0.000  17.508  17.508  16.660  15.659  15.389  15.018  13.364  14.481  13.762  13.174  11.606  11.617  11.050  11.219  10.675  10.893  12.839  14.874  11.476  
 0.150  3131.   -2.58  5.13  0.174    0.000  16.644  16.644  15.603  14.752  14.535  14.102  12.675  13.639  13.051  12.527  11.128  11.106  10.629  10.778  10.292  10.462  12.334  14.041  11.035  
 0.170  3192.   -2.46  5.10  0.192    0.000  16.106  16.106  15.106  14.278  14.063  13.635  12.216  13.143  12.589  12.088  10.777  10.737  10.304  10.443   9.986  10.135  11.965  13.557  10.698  
 0.200  3262.   -2.32  5.06  0.217    0.000  15.507  15.507  14.543  13.733  13.517  13.099  11.697  12.585  12.065  11.584  10.358  10.304   9.909  10.040   9.610   9.742  11.524  13.008  10.291  
 0.300  3416.   -1.97  4.97  0.297    0.000  14.211  14.211  13.310  12.527  12.308  11.908  10.538  11.350  10.889  10.447   9.393   9.313   8.989   9.103   8.726   8.826  10.504  11.792   9.342  
 0.400  3520.   -1.71  4.89  0.376    0.000  13.348  13.348  12.467  11.686  11.460  11.077   9.732  10.497  10.069   9.649   8.695   8.606   8.319   8.424   8.077   8.162   9.769  10.948   8.652  
 0.500  3680.   -1.45  4.80  0.465    0.000  12.426  12.426  11.560  10.758  10.512  10.157   8.842   9.536   9.155   8.770   7.970   7.866   7.633   7.724   7.420   7.485   8.975  10.006   7.932  
 0.600  3979.   -1.15  4.72  0.561    0.000  11.311  11.311  10.476   9.635   9.357   9.052   7.792   8.387   8.067   7.729   7.167   7.051   6.888   6.959   6.715   6.759   8.044   8.875   7.125  
 0.700  4418.   -0.85  4.66  0.646    0.000   9.768   9.768   9.140   8.427   8.132   7.962   6.681   7.240   6.949   6.642   6.335   6.225   6.118   6.172   5.988   6.016   7.055   7.701   6.277  
 0.800  4878.   -0.56  4.61  0.736    0.000   8.126   8.126   7.800   7.248   7.017   6.816   5.816   6.276   6.046   5.792   5.565   5.476   5.394   5.437   5.296   5.308   6.176   6.675   5.519  
 0.900  5297.   -0.29  4.53  0.850    0.068   6.821   6.821   6.725   6.295   6.122   5.892   5.095   5.485   5.295   5.077   4.886   4.810   4.739   4.779   4.670   4.670   5.423   5.832   4.851  
 1.000  5697.   -0.03  4.44  0.994    0.306   5.721   5.721   5.784   5.450   5.318   5.098   4.430   4.767   4.605   4.415   4.250   4.185   4.120   4.159   4.076   4.068   4.727   5.069   4.223  
 1.100  5996.    0.23  4.32  1.204    0.574   4.841   4.841   4.971   4.698   4.590   4.390   3.798   4.100   3.957   3.785   3.637   3.580   3.521   3.558   3.492   3.476   4.071   4.370   3.616  
 1.200  6053.    0.43  4.17  1.491    0.770   4.307   4.307   4.430   4.171   4.069   3.873   3.298   3.592   3.453   3.285   3.140   3.085   3.027   3.063   3.000   2.983   3.565   3.855   3.121  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   5.0000
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.070  1627.   -4.30  5.38  0.090    0.000  27.910  27.910  26.107  24.219  23.844  23.463  19.678  23.211  20.202  19.292  18.713  18.523  17.199  17.363  16.253  16.561  18.926  22.697  17.343  
 0.072  1790.   -4.12  5.38  0.091    0.000  27.176  27.176  25.442  23.406  23.035  22.618  19.018  22.422  19.587  18.687  18.040  17.863  16.483  16.644  15.473  15.925  18.184  21.913  16.581  
 0.075  2038.   -3.89  5.39  0.091    0.000  26.888  26.888  25.200  23.142  22.793  22.318  18.562  21.792  19.171  18.276  17.433  17.238  15.761  15.928  14.656  15.350  17.445  21.369  15.804  
 0.080  2343.   -3.58  5.35  0.099    0.000  24.692  24.692  23.963  21.804  21.478  20.931  17.547  20.053  18.084  17.221  15.788  15.723  14.294  14.514  13.313  14.068  16.112  20.042  14.483  
 0.090  2644.   -3.25  5.29  0.113    0.000  21.740  21.740  21.065  19.267  18.937  18.455  16.141  17.811  16.542  15.757  13.786  13.921  12.875  13.115  12.236  12.760  14.815  18.144  13.274  
 0.100  2811.   -3.06  5.25  0.124    0.000  19.739  19.739  19.055  17.616  17.317  16.843  14.978  16.347  15.385  14.689  12.824  12.912  12.114  12.327  11.629  11.982  14.023  16.714  12.554  
 0.110  2916.   -2.92  5.22  0.135    0.000  18.823  18.823  18.154  16.926  16.606  16.258  14.314  15.624  14.732  14.065  12.307  12.359  11.660  11.857  11.224  11.517  13.539  16.016  12.102  
 0.130  3046.   -2.73  5.17  0.156    0.000  17.505  17.505  16.656  15.656  15.387  15.015  13.362  14.478  13.760  13.172  11.605  11.615  11.049  11.218  10.674  10.892  12.838  14.871  11.475  
 0.150  3131.   -2.58  5.13  0.175    0.000  16.642  16.642  15.601  14.750  14.534  14.100  12.673  13.638  13.049  12.526  11.126  11.104  10.628  10.776  10.291  10.461  12.332  14.039  11.034  
 0.170  3192.   -2.46  5.10  0.192    0.000  16.103  16.103  15.103  14.275  14.061  13.633  12.214  13.140  12.587  12.085  10.776  10.735  10.302  10.441   9.985  10.133  11.963  13.554  10.696  
 0.200  3262.   -2.32  5.06  0.218    0.000  15.501  15.501  14.538  13.728  13.512  13.094  11.693  12.580  12.060  11.579  10.354  10.300   9.905  10.035   9.606   9.738  11.520  13.003  10.287  
 0.300  3416.   -1.96  4.96  0.299    0.000  14.197  14.197  13.295  12.513  12.295  11.895  10.525  11.338  10.876  10.434   9.380   9.300   8.976   9.090   8.713   8.813  10.492  11.780   9.329  
 0.400  3521.   -1.71  4.89  0.377    0.000  13.341  13.341  12.460  11.679  11.453  11.070   9.726  10.491  10.062   9.643   8.689   8.600   8.313   8.418   8.071   8.156   9.763  10.942   8.646  
 0.500  3682.   -1.44  4.80  0.467    0.000  12.418  12.418  11.551  10.749  10.503  10.148   8.834   9.528   9.147   8.762   7.963   7.859   7.626   7.717   7.413   7.479   8.967   9.998   7.925  
 0.600  3984.   -1.15  4.72  0.562    0.000  11.293  11.293  10.458   9.617   9.338   9.034   7.775   8.369   8.049   7.713   7.154   7.038   6.876   6.947   6.704   6.747   8.029   8.857   7.112  
 0.700  4430.   -0.84  4.66  0.648    0.000   9.721   9.721   9.102   8.393   8.099   7.929   6.655   7.211   6.922   6.616   6.313   6.204   6.097   6.151   5.969   5.996   7.029   7.671   6.255  
 0.800  4896.   -0.55  4.60  0.742    0.000   8.061   8.061   7.746   7.200   6.971   6.768   5.780   6.236   6.008   5.755   5.531   5.443   5.361   5.404   5.264   5.275   6.138   6.632   5.485  
 0.900  5325.   -0.27  4.52  0.863    0.066   6.727   6.727   6.645   6.222   6.053   5.823   5.037   5.422   5.234   5.019   4.830   4.755   4.684   4.724   4.617   4.616   5.362   5.765   4.795  
 1.000  5732.    0.01  4.41  1.028    0.306   5.591   5.591   5.663   5.337   5.208   4.990   4.331   4.664   4.505   4.317   4.154   4.090   4.026   4.064   3.983   3.974   4.625   4.962   4.128  
 1.100  5971.    0.27  4.26  1.281    0.574   4.746   4.746   4.865   4.589   4.480   4.277   3.681   3.985   3.841   3.668   3.518   3.461   3.401   3.438   3.371   3.356   3.955   4.257   3.497  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =   8.0000
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.070  1626.   -4.30  5.38  0.090    0.000  27.915  27.915  26.112  24.225  23.850  23.469  19.683  23.217  20.207  19.297  18.718  18.527  17.203  17.367  16.258  16.565  18.931  22.703  17.348  
 0.072  1789.   -4.12  5.38  0.091    0.000  27.176  27.176  25.442  23.407  23.035  22.619  19.018  22.423  19.588  18.688  18.040  17.863  16.483  16.645  15.474  15.925  18.185  21.914  16.582  
 0.075  2036.   -3.89  5.39  0.091    0.000  26.893  26.893  25.204  23.149  22.799  22.325  18.565  21.795  19.173  18.279  17.436  17.241  15.766  15.933  14.661  15.354  17.450  21.372  15.809  
 0.080  2344.   -3.58  5.35  0.099    0.000  24.692  24.692  23.957  21.797  21.470  20.924  17.543  20.045  18.081  17.219  15.782  15.717  14.289  14.510  13.311  14.065  16.109  20.037  14.481  
 0.090  2645.   -3.25  5.29  0.113    0.000  21.728  21.728  21.054  19.257  18.928  18.445  16.135  17.803  16.535  15.750  13.780  13.915  12.870  13.110  12.232  12.756  14.811  18.136  13.269  
 0.100  2812.   -3.06  5.25  0.124    0.000  19.732  19.732  19.048  17.611  17.312  16.839  14.974  16.342  15.380  14.685  12.821  12.908  12.111  12.324  11.626  11.979  14.020  16.709  12.551  
 0.110  2917.   -2.92  5.22  0.135    0.000  18.816  18.816  18.147  16.920  16.601  16.253  14.310  15.619  14.727  14.061  12.304  12.356  11.657  11.854  11.221  11.514  13.536  16.011  12.099  
 0.130  3047.   -2.73  5.17  0.156    0.000  17.497  17.497  16.645  15.647  15.378  15.006  13.356  14.470  13.754  13.167  11.602  11.611  11.046  11.215  10.672  10.889  12.835  14.863  11.472  
 0.150  3132.   -2.58  5.13  0.175    0.000  16.634  16.634  15.594  14.744  14.528  14.094  12.668  13.631  13.043  12.520  11.122  11.100  10.624  10.773  10.288  10.458  12.328  14.033  11.030  
 0.170  3193.   -2.46  5.10  0.193    0.000  16.092  16.092  15.093  14.266  14.051  13.623  12.205  13.131  12.578  12.077  10.768  10.728  10.295  10.434   9.978  10.127  11.956  13.545  10.690  
 0.200  3264.   -2.31  5.06  0.219    0.000  15.481  15.481  14.518  13.710  13.494  13.077  11.677  12.563  12.044  11.563  10.339  10.284   9.891  10.021   9.592   9.724  11.505  12.986  10.272  
 0.300  3416.   -1.95  4.95  0.303    0.000  14.167  14.167  13.265  12.485  12.267  11.867  10.499  11.312  10.850  10.407   9.352   9.273   8.948   9.062   8.685   8.786  10.464  11.753   9.301  
 0.400  3522.   -1.70  4.88  0.379    0.000  13.325  13.325  12.444  11.664  11.438  11.055   9.711  10.475  10.047   9.629   8.676   8.586   8.300   8.405   8.058   8.143   9.749  10.927   8.633  
 0.500  3686.   -1.44  4.79  0.469    0.000  12.393  12.393  11.527  10.724  10.477  10.123   8.810   9.502   9.122   8.738   7.943   7.839   7.607   7.698   7.395   7.460   8.946   9.972   7.905  
 0.600  4001.   -1.13  4.71  0.566    0.000  11.237  11.237  10.404   9.562   9.282   8.982   7.725   8.314   7.998   7.663   7.116   7.000   6.841   6.912   6.671   6.714   7.984   8.803   7.074  
 0.700  4467.   -0.81  4.65  0.656    0.000   9.575   9.575   8.982   8.286   7.997   7.826   6.574   7.123   6.839   6.537   6.245   6.138   6.034   6.087   5.908   5.934   6.950   7.577   6.187  
 0.800  4958.   -0.50  4.58  0.761    0.000   7.848   7.848   7.568   7.042   6.823   6.614   5.660   6.104   5.883   5.637   5.419   5.332   5.253   5.294   5.160   5.169   6.013   6.493   5.374  
 0.900  5420.   -0.19  4.47  0.914    0.063   6.410   6.410   6.371   5.974   5.816   5.586   4.834   5.206   5.026   4.817   4.635   4.562   4.493   4.532   4.432   4.428   5.151   5.538   4.602  
 1.000  5772.    0.15  4.29  1.186    0.306   5.217   5.217   5.291   4.977   4.853   4.636   3.990   4.318   4.161   3.976   3.815   3.753   3.689   3.727   3.648   3.638   4.280   4.611   3.790  
----------------------------------------------------------------------------------------------------------------------------------------
t (Gyr) =  10.0000
M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0        F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
 0.070  1626.   -4.30  5.38  0.090    0.000  27.915  27.915  26.111  24.224  23.849  23.468  19.682  23.216  20.206  19.296  18.717  18.527  17.203  17.367  16.257  16.565  18.930  22.702  17.347  
 0.072  1790.   -4.12  5.38  0.091    0.000  27.175  27.175  25.442  23.406  23.034  22.618  19.018  22.422  19.587  18.687  18.039  17.862  16.482  16.644  15.473  15.924  18.184  21.913  16.581  
 0.075  2037.   -3.89  5.39  0.091    0.000  26.891  26.891  25.202  23.146  22.797  22.322  18.564  21.794  19.173  18.278  17.435  17.240  15.765  15.931  14.659  15.353  17.448  21.371  15.807  
 0.080  2345.   -3.58  5.35  0.099    0.000  24.693  24.693  23.953  21.792  21.466  20.920  17.541  20.041  18.079  17.217  15.778  15.713  14.286  14.508  13.310  14.063  16.107  20.034  14.479  
 0.090  2646.   -3.25  5.29  0.113    0.000  21.720  21.720  21.046  19.250  18.921  18.438  16.131  17.798  16.530  15.746  13.775  13.911  12.867  13.107  12.230  12.753  14.808  18.131  13.266  
 0.100  2812.   -3.06  5.25  0.124    0.000  19.727  19.727  19.044  17.608  17.308  16.836  14.970  16.338  15.377  14.682  12.818  12.905  12.109  12.321  11.624  11.976  14.018  16.706  12.549  
 0.110  2917.   -2.92  5.22  0.135    0.000  18.811  18.811  18.142  16.916  16.597  16.249  14.307  15.615  14.724  14.058  12.302  12.353  11.655  11.852  11.220  11.512  13.533  16.007  12.097  
 0.130  3048.   -2.73  5.17  0.156    0.000  17.491  17.491  16.636  15.640  15.372  14.998  13.352  14.464  13.749  13.163  11.599  11.609  11.044  11.213  10.670  10.887  12.832  14.857  11.470  
 0.150  3133.   -2.58  5.13  0.175    0.000  16.629  16.629  15.589  14.739  14.523  14.090  12.663  13.626  13.039  12.516  11.119  11.096  10.621  10.769  10.285  10.455  12.324  14.028  11.027  
 0.170  3194.   -2.46  5.10  0.193    0.000  16.083  16.083  15.085  14.259  14.044  13.616  12.198  13.123  12.571  12.070  10.763  10.722  10.290  10.429   9.973  10.122  11.950  13.537  10.684  
 0.200  3265.   -2.31  5.05  0.220    0.000  15.466  15.466  14.504  13.697  13.482  13.065  11.665  12.551  12.032  11.552  10.329  10.274   9.880  10.010   9.582   9.714  11.494  12.974  10.262  
 0.300  3416.   -1.95  4.95  0.304    0.000  14.153  14.153  13.251  12.472  12.254  11.855  10.487  11.299  10.837  10.395   9.339   9.260   8.935   9.049   8.672   8.773  10.451  11.740   9.288  
 0.400  3524.   -1.70  4.88  0.380    0.000  13.316  13.316  12.435  11.655  11.429  11.046   9.703  10.466  10.039   9.620   8.668   8.579   8.293   8.397   8.051   8.136   9.741  10.918   8.625  
 0.500  3689.   -1.43  4.79  0.471    0.000  12.377  12.377  11.510  10.707  10.460  10.107   8.795   9.485   9.106   8.723   7.930   7.826   7.595   7.686   7.384   7.448   8.932   9.956   7.893  
 0.600  4013.   -1.12  4.71  0.569    0.000  11.195  11.195  10.368   9.535   9.252   8.965   7.690   8.282   7.964   7.628   7.091   6.974   6.817   6.887   6.648   6.690   7.955   8.771   7.047  
 0.700  4493.   -0.79  4.64  0.662    0.000   9.474   9.474   8.899   8.213   7.927   7.755   6.517   7.061   6.781   6.482   6.198   6.092   5.990   6.042   5.866   5.891   6.895   7.512   6.140  
 0.800  5002.   -0.47  4.56  0.776    0.000   7.692   7.692   7.438   6.926   6.714   6.500   5.570   6.007   5.791   5.548   5.335   5.250   5.172   5.213   5.082   5.090   5.921   6.389   5.292  
 0.900  5495.   -0.12  4.42  0.964    0.063   6.147   6.147   6.138   5.761   5.611   5.382   4.656   5.018   4.843   4.640   4.463   4.392   4.324   4.363   4.268   4.264   4.968   5.342   4.431  
----------------------------------------------------------------------------------------------------------------------------------------
