log(sep) DeltaG log(RUWE) sigma_log(RUWE)
 2.175  0.800 1.470553  0.22713 
 2.225  0.800 1.544107  0.22713 
 2.275  0.800 1.595558  0.22720 
 2.325  0.800 1.622874  0.22733 
 2.375  0.800 1.625064  0.22752 
 2.425  0.800 1.602228  0.22777 
 2.475  0.800 1.555544  0.22804 
 2.525  0.800 1.487182  0.22830 
 2.575  0.800 1.400153  0.22853 
 2.625  0.800 1.298119  0.22869 
 2.675  0.800 1.185160  0.22878 
 2.725  0.800 1.065532  0.22880 
 2.775  0.800 0.943434  0.22876 
 2.825  0.800 0.822783  0.22870 
 2.875  0.800 0.707037  0.22864 
 2.925  0.800 0.599057  0.22860 
 2.975  0.800 0.501017  0.22859 
 3.025  0.800 0.414375  0.22861 
 3.075  0.800 0.339880  0.22869 
 3.125  0.800 0.277633  0.22889 
 3.175  0.800 0.227175  0.22937 
 3.225  0.800 0.187598  0.23037 
 3.275  0.800 0.157665  0.23230 
 3.325  0.800 0.135941  0.23569 
 1.275  0.900 0.041750  0.25274 
 1.325  0.900 0.050858  0.24694 
 1.375  0.900 0.064566  0.24264 
 1.425  0.900 0.084543  0.23936 
 1.475  0.900 0.112534  0.23674 
 1.525  0.900 0.150237  0.23454 
 1.575  0.900 0.199161  0.23266 
 1.625  0.900 0.260468  0.23108 
 1.675  0.900 0.334829  0.22981 
 1.725  0.900 0.422286  0.22886 
 1.775  0.900 0.522152  0.22820 
 1.825  0.900 0.632946  0.22779 
 1.875  0.900 0.752389  0.22756 
 1.925  0.900 0.877456  0.22744 
 1.975  0.900 1.004483  0.22737 
 2.025  0.900 1.129337  0.22731 
 2.075  0.900 1.247627  0.22724 
 2.125  0.900 1.354948  0.22717 
 2.175  0.900 1.447135  0.22710 
 2.225  0.900 1.520519  0.22708 
 2.275  0.900 1.572147  0.22711 
 2.325  0.900 1.599969  0.22720 
 2.375  0.900 1.602960  0.22737 
 2.425  0.900 1.581179  0.22759 
 2.475  0.900 1.535750  0.22784 
 2.525  0.900 1.468787  0.22809 
 2.575  0.900 1.383243  0.22831 
 2.625  0.900 1.282723  0.22848 
 2.675  0.900 1.171252  0.22858 
 2.725  0.900 1.053044  0.22862 
 2.775  0.900 0.932256  0.22862 
 2.825  0.900 0.812781  0.22860 
 2.875  0.900 0.698059  0.22857 
 2.925  0.900 0.590944  0.22856 
 2.975  0.900 0.493613  0.22857 
 3.025  0.900 0.407534  0.22860 
 3.075  0.900 0.333473  0.22866 
 3.125  0.900 0.271553  0.22882 
 3.175  0.900 0.221340  0.22921 
 3.225  0.900 0.181949  0.23009 
 3.275  0.900 0.152168  0.23185 
 3.325  0.900 0.130583  0.23501 
 1.275  1.000 0.043810  0.25214 
 1.325  1.000 0.052414  0.24639 
 1.375  1.000 0.065413  0.24217 
 1.425  1.000 0.084458  0.23898 
 1.475  1.000 0.111287  0.23645 
 1.525  1.000 0.147599  0.23434 
 1.575  1.000 0.194910  0.23254 
 1.625  1.000 0.254407  0.23102 
 1.675  1.000 0.326793  0.22980 
 1.725  1.000 0.412152  0.22888 
 1.775  1.000 0.509848  0.22825 
 1.825  1.000 0.618461  0.22785 
 1.875  1.000 0.735775  0.22763 
 1.925  1.000 0.858832  0.22752 
 1.975  1.000 0.984031  0.22744 
 2.025  1.000 1.107300  0.22737 
 2.075  1.000 1.224298  0.22729 
 2.125  1.000 1.330660  0.22720 
 2.175  1.000 1.422248  0.22711 
 2.225  1.000 1.495405  0.22706 
 2.275  1.000 1.547176  0.22706 
 2.325  1.000 1.575492  0.22713 
 2.375  1.000 1.579296  0.22727 
 2.425  1.000 1.558602  0.22747 
 2.475  1.000 1.514483  0.22770 
 2.525  1.000 1.448993  0.22793 
 2.575  1.000 1.365025  0.22815 
 2.625  1.000 1.266122  0.22832 
 2.675  1.000 1.156254  0.22844 
 2.725  1.000 1.039584  0.22850 
 2.775  1.000 0.920229  0.22853 
 2.825  1.000 0.802049  0.22854 
 2.875  1.000 0.688466  0.22855 
 2.925  1.000 0.582323  0.22856 
 2.975  1.000 0.485799  0.22859 
 3.025  1.000 0.400371  0.22863 
 3.075  1.000 0.326820  0.22868 
 3.125  1.000 0.265293  0.22880 
 3.175  1.000 0.215378  0.22912 
 3.225  1.000 0.176216  0.22988 
 3.275  1.000 0.146621  0.23147 
 3.325  1.000 0.125200  0.23442 
 1.275  1.100 0.045807  0.25171 
 1.325  1.100 0.053890  0.24600 
 1.375  1.100 0.066156  0.24184 
 1.425  1.100 0.084241  0.23872 
 1.475  1.100 0.109871  0.23626 
 1.525  1.100 0.144743  0.23422 
 1.575  1.100 0.190387  0.23248 
 1.625  1.100 0.248008  0.23102 
 1.675  1.100 0.318340  0.22984 
 1.725  1.100 0.401513  0.22895 
 1.775  1.100 0.496942  0.22834 
 1.825  1.100 0.603269  0.22795 
 1.875  1.100 0.718345  0.22773 
 1.925  1.100 0.839279  0.22761 
 1.975  1.100 0.962538  0.22753 
 2.025  1.100 1.084114  0.22746 
 2.075  1.100 1.199719  0.22736 
 2.125  1.100 1.305033  0.22725 
 2.175  1.100 1.395949  0.22715 
 2.225  1.100 1.468824  0.22708 
 2.275  1.100 1.520702  0.22706 
 2.325  1.100 1.549498  0.22711 
 2.375  1.100 1.554123  0.22722 
 2.425  1.100 1.534547  0.22739 
 2.475  1.100 1.491790  0.22761 
 2.525  1.100 1.427844  0.22783 
 2.575  1.100 1.345538  0.22804 
 2.625  1.100 1.248352  0.22821 
 2.675  1.100 1.140197  0.22834 
 2.725  1.100 1.025179  0.22842 
 2.775  1.100 0.907374  0.22847 
 2.825  1.100 0.790607  0.22851 
 2.875  1.100 0.678275  0.22855 
 2.925  1.100 0.573210  0.22860 
 2.975  1.100 0.477590  0.22865 
 3.025  1.100 0.392898  0.22870 
 3.075  1.100 0.319934  0.22874 
 3.125  1.100 0.258863  0.22882 
 3.175  1.100 0.209299  0.22907 
 3.225  1.100 0.170410  0.22973 
 3.275  1.100 0.141035  0.23117 
 3.325  1.100 0.119803  0.23392 
 1.275  1.200 0.047739  0.25144 
 1.325  1.200 0.055285  0.24575 
 1.375  1.200 0.066798  0.24163 
 1.425  1.200 0.083894  0.23856 
 1.475  1.200 0.108290  0.23616 
 1.525  1.200 0.141682  0.23418 
 1.575  1.200 0.185606  0.23249 
 1.625  1.200 0.241288  0.23108 
 1.675  1.200 0.309494  0.22993 
 1.725  1.200 0.390398  0.22906 
 1.775  1.200 0.483469  0.22846 
 1.825  1.200 0.587411  0.22807 
 1.875  1.200 0.700143  0.22785 
 1.925  1.200 0.818846  0.22773 
 1.975  1.200 0.940057  0.22764 
 2.025  1.200 1.059835  0.22755 
 2.075  1.200 1.173950  0.22745 
 2.125  1.200 1.278130  0.22733 
 2.175  1.200 1.368301  0.22721 
 2.225  1.200 1.440838  0.22713 
 2.275  1.200 1.492787  0.22709 
 2.325  1.200 1.522047  0.22711 
 2.375  1.200 1.527499  0.22721 
 2.425  1.200 1.509069  0.22736 
 2.475  1.200 1.467721  0.22755 
 2.525  1.200 1.405385  0.22776 
 2.575  1.200 1.324825  0.22797 
 2.625  1.200 1.229451  0.22814 
 2.675  1.200 1.123113  0.22828 
 2.725  1.200 1.009860  0.22838 
 2.775  1.200 0.893719  0.22845 
 2.825  1.200 0.778476  0.22852 
 2.875  1.200 0.667504  0.22858 
 2.925  1.200 0.563620  0.22866 
 2.975  1.200 0.468998  0.22873 
 3.025  1.200 0.385129  0.22878 
 3.075  1.200 0.312825  0.22882 
 3.125  1.200 0.252275  0.22887 
 3.175  1.200 0.203115  0.22906 
 3.225  1.200 0.164541  0.22962 
 3.275  1.200 0.135419  0.23093 
 3.325  1.200 0.114403  0.23349 
 1.275  1.300 0.049604  0.25133 
 1.325  1.300 0.056599  0.24564 
 1.375  1.300 0.067339  0.24153 
 1.425  1.300 0.083423  0.23850 
 1.475  1.300 0.106555  0.23614 
 1.525  1.300 0.138427  0.23420 
 1.575  1.300 0.180583  0.23256 
 1.625  1.300 0.234268  0.23118 
 1.675  1.300 0.300282  0.23006 
 1.725  1.300 0.378839  0.22920 
 1.775  1.300 0.469466  0.22860 
 1.825  1.300 0.570928  0.22821 
 1.875  1.300 0.681216  0.22798 
 1.925  1.300 0.797584  0.22785 
 1.975  1.300 0.916645  0.22775 
 2.025  1.300 1.034523  0.22766 
 2.075  1.300 1.147055  0.22754 
 2.125  1.300 1.250016  0.22742 
 2.175  1.300 1.339371  0.22729 
 2.225  1.300 1.411514  0.22719 
 2.275  1.300 1.463497  0.22714 
 2.325  1.300 1.493204  0.22715 
 2.375  1.300 1.499486  0.22722 
 2.425  1.300 1.482226  0.22735 
 2.475  1.300 1.442331  0.22753 
 2.525  1.300 1.381668  0.22773 
 2.575  1.300 1.302930  0.22792 
 2.625  1.300 1.209461  0.22810 
 2.675  1.300 1.105040  0.22824 
